#, Player, Team, GP, MPG, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, TOV, PF, ORB, DRB, RPG, APG, SPG, BPG, PPG
65, Allen Crabbe, BRK, 75, 29.3, 4.5, 11.0, .407, 2.7, 7.1, .378, 1.5, 1.8, .852, 1.0, 2.2, 0.4, 3.9, 4.3, 1.6, 0.6, 0.5, 13.2
66, Michael Beasley, NYK, 74, 22.3, 5.5, 10.9, .507, 0.5, 1.2, .395, 1.7, 2.1, .780, 1.9, 2.0, 1.3, 4.3, 5.6, 1.7, 0.5, 0.6, 13.2
67, Josh Jackson, PHX, 77, 25.4, 5.1, 12.1, .417, 0.7, 2.8, .263, 2.3, 3.6, .634, 1.9, 2.8, 1.2, 3.3, 4.6, 1.5, 1.0, 0.5, 13.1
68, Ricky Rubio, UTA, 77, 29.3, 4.5, 10.7, .418, 1.2, 3.5, .352, 2.9, 3.3, .866, 2.7, 2.7, 0.6, 4.0, 4.6, 5.3, 1.6, 0.1, 13.1
69, Brook Lopez, LAL, 74, 23.4, 5.0, 10.7, .465, 1.5, 4.4, .345, 1.5, 2.1, .703, 1.3, 2.6, 1.0, 3.0, 4.0, 1.7, 0.4, 1.3, 13.0
70, Jeremy Lamb, CHA, 80, 24.6, 4.8, 10.4, .457, 1.2, 3.2, .370, 2.2, 2.6, .861, 1.2, 1.7, 0.6, 3.4, 4.0, 2.3, 0.8, 0.4, 12.9
71, Josh Richardson, MIA, 81, 33.2, 4.9, 10.9, .451, 1.6, 4.1, .378, 1.5, 1.8, .845, 1.7, 2.5, 0.9, 2.7, 3.5, 2.9, 1.5, 0.9, 12.9
72, Al Horford, BOS, 72, 31.6, 5.1, 10.5, .489, 1.3, 3.1, .429, 1.3, 1.7, .783, 1.8, 1.9, 1.4, 5.9, 7.4, 4.7, 0.6, 1.1, 12.9
73, Kent Bazemore, ATL, 65, 27.5, 4.4, 10.4, .420, 1.7, 4.2, .394, 2.5, 3.1, .796, 2.4, 2.3, 0.4, 3.4, 3.8, 3.5, 1.5, 0.7, 12.9
74, Willie Cauley-Stein, SAC, 73, 28.0, 5.3, 10.6, .502, 0.0, 0.2, .250, 2.1, 3.4, .619, 1.5, 2.5, 1.8, 5.2, 7.0, 2.4, 1.1, 0.9, 12.8
75, Wesley Matthews, DAL, 63, 33.8, 4.5, 11.1, .406, 2.4, 6.4, .381, 1.3, 1.6, .822, 1.3, 2.2, 0.4, 2.7, 3.1, 2.7, 1.2, 0.3, 12.7
76, Jonas Valanciunas, TOR, 77, 22.4, 5.1, 8.9, .568, 0.4, 1.0, .405, 2.2, 2.7, .806, 1.5, 2.5, 2.4, 6.2, 8.6, 1.1, 0.4, 0.9, 12.7
77, Serge Ibaka, TOR, 76, 27.5, 5.0, 10.3, .483, 1.4, 3.9, .360, 1.2, 1.6, .797, 1.2, 2.8, 1.0, 5.3, 6.3, 0.8, 0.4, 1.3, 12.6
78, Robert Covington, PHI, 80, 31.6, 4.3, 10.4, .413, 2.5, 6.9, .369, 1.4, 1.7, .853, 1.6, 3.0, 0.7, 4.7, 5.4, 1.9, 1.7, 0.9, 12.6
79, Spencer Dinwiddie, BRK, 80, 28.8, 4.0, 10.5, .387, 1.8, 5.4, .326, 2.7, 3.4, .813, 1.6, 2.3, 0.5, 2.7, 3.2, 6.5, 0.8, 0.3, 12.6
80, E'Twaun Moore, NOP, 82, 31.5, 5.2, 10.1, .508, 1.6, 3.7, .425, 0.6, 0.8, .706, 1.2, 2.2, 0.7, 2.2, 2.9, 2.3, 1.0, 0.1, 12.5
81, Derrick Favors, UTA, 77, 28.0, 5.1, 9.1, .563, 0.2, 0.8, .222, 1.8, 2.8, .651, 1.1, 2.1, 2.6, 4.6, 7.2, 1.3, 0.7, 1.1, 12.3
82, Taj Gibson, MIN, 82, 33.3, 5.2, 9.0, .577, 0.1, 0.4, .200, 1.7, 2.3, .768, 1.1, 2.7, 2.4, 4.8, 7.1, 1.2, 0.8, 0.7, 12.2
83, Justin Holiday, CHI, 72, 31.5, 4.0, 10.9, .371, 2.2, 6.2, .359, 1.9, 2.3, .823, 1.3, 1.9, 0.4, 3.6, 4.0, 2.1, 1.1, 0.4, 12.2
84, Marco Belinelli, PHI, 80, 24.3, 4.2, 9.5, .442, 1.9, 4.9, .377, 1.9, 2.0, .908, 1.2, 1.1, 0.2, 1.6, 1.9, 1.9, 0.8, 0.1, 12.1
85, Caris LeVert, BRK, 71, 26.2, 4.5, 10.4, .435, 1.2, 3.5, .347, 1.9, 2.6, .711, 2.2, 2.2, 0.7, 2.9, 3.7, 4.2, 1.2, 0.3, 12.1
86, DeAndre Jordan, LAC, 77, 31.5, 4.8, 7.5, .645, 0.0, 0.0, .000, 2.4, 4.1, .580, 1.8, 2.6, 4.3, 10.9, 15.2, 1.5, 0.5, 0.9, 12.0
87, Dirk Nowitzki, DAL, 77, 24.7, 4.5, 9.8, .456, 1.8, 4.4, .409, 1.3, 1.4, .898, 0.7, 1.9, 0.3, 5.4, 5.7, 1.6, 0.6, 0.6, 12.0
88, Courtney Lee, NYK, 76, 30.4, 4.5, 9.9, .454, 1.5, 3.7, .406, 1.5, 1.6, .919, 1.1, 1.4, 0.4, 2.6, 2.9, 2.4, 1.1, 0.2, 12.0
89, Thaddeus Young, IND, 81, 32.2, 5.2, 10.7, .487, 0.7, 2.2, .320, 0.7, 1.1, .598, 1.3, 2.2, 2.3, 4.0, 6.3, 1.9, 1.7, 0.4, 11.8
90, Kelly Oubre. Jr., WAS, 81, 27.5, 3.9, 9.8, .403, 1.6, 4.6, .341, 2.4, 2.9, .820, 1.1, 2.9, 0.7, 3.8, 4.5, 1.2, 1.0, 0.4, 11.8
91, Bogdan Bogdanovic, SAC, 78, 27.9, 4.4, 9.9, .446, 1.7, 4.2, .392, 1.3, 1.5, .840, 1.6, 2.2, 0.4, 2.5, 2.9, 3.3, 0.9, 0.2, 11.8
92, Tyler Johnson, MIA, 72, 28.5, 4.3, 9.9, .435, 1.7, 4.5, .367, 1.5, 1.8, .822, 1.1, 2.1, 0.5, 3.0, 3.4, 2.3, 0.8, 0.5, 11.7
93, Domas Sabonis, IND, 74, 24.5, 4.6, 8.9, .514, 0.2, 0.5, .351, 2.3, 3.0, .750, 1.9, 3.0, 2.2, 5.5, 7.7, 2.0, 0.5, 0.4, 11.6
94, J.J. Barea, DAL, 69, 23.2, 4.4, 10.0, .439, 1.7, 4.5, .367, 1.2, 1.5, .784, 2.1, 1.2, 0.2, 2.7, 2.9, 6.3, 0.5, 0.0, 11.6
95, De'Aaron Fox, SAC, 73, 27.7, 4.5, 10.9, .412, 0.6, 2.1, .307, 1.9, 2.7, .723, 2.4, 2.2, 0.5, 2.3, 2.8, 4.4, 1.0, 0.3, 11.6
96, Markieff Morris, WAS, 73, 27.0, 4.5, 9.4, .480, 1.0, 2.8, .367, 1.4, 1.8, .820, 1.7, 3.0, 1.0, 4.6, 5.6, 1.9, 0.8, 0.5, 11.5
97, Kelly Olynyk, MIA, 76, 23.4, 4.2, 8.4, .497, 1.4, 3.7, .379, 1.8, 2.3, .770, 1.9, 2.9, 1.2, 4.5, 5.7, 2.7, 0.8, 0.5, 11.5
98, Joe Ingles, UTA, 82, 31.4, 4.1, 8.8, .467, 2.5, 5.7, .440, 0.8, 1.0, .795, 1.9, 2.2, 0.3, 3.9, 4.2, 4.8, 1.1, 0.2, 11.5
99, Terry Rozier, BOS, 80, 25.9, 4.0, 10.0, .395, 1.9, 5.0, .381, 1.4, 1.9, .772, 1.0, 1.5, 0.8, 3.9, 4.7, 2.9, 1.0, 0.2, 11.2
100, Wayne Ellington, MIA, 77, 26.5, 3.7, 9.1, .407, 2.9, 7.5, .392, 0.9, 1.0, .859, 0.7, 1.2, 0.3, 2.5, 2.8, 1.0, 0.7, 0.1, 11.2
